,,,,,,,,,Score,,,,Passing,,,,,,,,,,Rushing,,,,Total Offense,,,Kicking,,,,Punting,,First Downs,,,,Downs,,,,Penalties,,Turnovers,,,
Tm,Div,Rk,Gtm,Week,Date,Day,Home/Away,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
Dallas Cowboys,NFC EAST,16,16,17,12/29/2019,Sun,Home,WAS,W,47,16,,23,33,69.7,294,4,8.9,11.33,136.9,3,9,36,223,1,6.2,72,517,7.18,4,4,5,5,2,62,13,9,0,22,8,15,1,1,10,81,1,0,1,34:15:00
Dallas Cowboys,NFC EAST,1,1,1,9/13/2020,Sun,Away,LAR,L,17,20,,25,39,64.1,244,1,6.3,6.77,90.1,3,22,27,136,1,5,69,380,5.51,2,1,2,2,4,156,14,9,1,24,3,12,1,3,7,50,0,0,0,24:22:00
Dallas Cowboys,NFC EAST,2,2,2,9/20/2020,Sun,Home,ATL,W,40,39,,34,49,69.4,445,1,9.1,9.49,104.5,1,5,31,125,4,4,81,570,7.04,2,2,4,4,1,43,20,9,4,33,7,13,0,2,7,75,3,0,3,26:12:00
Dallas Cowboys,NFC EAST,3,3,3,9/27/2020,Sun,Away,SEA,L,31,38,,37,57,64.9,461,3,8.1,7.56,92.8,2,11,21,61,1,2.9,80,522,6.53,2,2,3,1,3,139,20,5,2,27,7,15,2,2,10,59,1,2,3,27:26:00
Dallas Cowboys,NFC EAST,4,4,4,10/4/2020,Sun,Home,CLE,L,38,49,,41,58,70.7,481,4,8.3,8.9,111.4,3,21,18,85,1,4.7,79,566,7.16,0,0,2,2,3,133,29,6,0,35,6,11,1,2,6,65,2,1,3,26:28:00
Dallas Cowboys,NFC EAST,5,5,5,10/11/2020,Sun,Home,NYG,W,37,34,,24,33,72.7,276,1,8.4,7.61,95,2,12,29,126,2,4.3,64,402,6.28,3,3,4,4,2,87,15,9,4,28,5,9,0,0,3,25,1,1,2,27:38:00
Dallas Cowboys,NFC EAST,6,6,6,10/19/2020,Mon,Home,ARI,L,10,38,,34,54,63,247,1,4.6,3.28,64.4,3,19,27,97,0,3.6,84,344,4.1,2,1,1,1,3,130,15,8,4,27,6,15,3,3,6,36,2,2,4,33:37:00
Dallas Cowboys,NFC EAST,7,7,7,10/25/2020,Sun,Away,WAS,L,3,25,,11,22,50,59,0,2.7,0.64,37.3,6,55,26,83,0,3.2,54,142,2.63,1,1,0,0,5,217,7,4,1,12,3,12,0,1,6,49,0,1,1,23:36
Dallas Cowboys,NFC EAST,8,8,8,11/1/2020,Sun,Away,PHI,L,9,23,,21,40,52.5,132,0,3.3,3.3,59.6,4,48,35,133,0,3.8,79,265,3.35,4,3,0,0,3,117,10,10,1,21,4,16,2,4,7,68,2,0,2,32:50:00
Dallas Cowboys,NFC EAST,9,9,9,11/8/2020,Sun,Home,PIT,L,19,24,,21,38,55.3,220,1,5.8,5.13,70.1,2,23,31,144,0,4.6,71,364,5.13,4,4,1,1,2,79,10,9,0,19,8,17,0,1,7,70,1,1,2,33:24:00
Dallas Cowboys,NFC EAST,10,10,11,11/22/2020,Sun,Away,MIN,W,31,28,,22,32,68.8,196,3,6.1,6.59,103.1,1,7,31,180,1,5.8,64,376,5.88,1,1,3,2,3,142,13,9,2,24,5,11,2,3,4,30,0,1,1,28:11:00
Dallas Cowboys,NFC EAST,11,11,12,11/26/2020,Thu,Home,WAS,L,16,41,,25,35,71.4,187,1,5.3,4.63,81.5,4,28,18,60,0,3.3,57,247,4.33,3,3,1,1,2,110,6,6,1,13,4,13,1,4,5,45,1,1,2,24:04:00
Dallas Cowboys,NFC EAST,12,12,13,12/8/2020,Tue,Away,BAL,L,17,34,,31,48,64.6,277,2,5.8,5.67,85.2,1,8,28,111,0,4,77,388,5.04,4,1,2,2,1,47,20,8,1,29,6,15,3,4,7,58,0,1,1,32:26:00
Dallas Cowboys,NFC EAST,13,13,14,12/13/2020,Sun,Away,CIN,W,30,7,,16,23,69.6,171,2,7.4,9.17,120,2,14,25,101,0,4,50,272,5.44,3,3,3,3,2,99,11,5,0,16,5,11,1,1,5,30,0,0,0,25:19:00
Dallas Cowboys,NFC EAST,14,14,15,12/20/2020,Sun,Home,SFO,W,41,33,,20,34,58.8,204,2,6,7.18,95.7,2,17,22,87,2,4,58,291,5.02,3,2,5,5,6,282,12,3,0,15,6,15,0,0,5,58,0,0,0,25:04:00
Dallas Cowboys,NFC EAST,15,15,16,12/27/2020,Sun,Home,PHI,W,37,17,,22,30,73.3,362,3,12.1,12.57,132.9,2,15,34,151,1,4.4,66,513,7.77,3,3,4,4,4,178,13,7,2,22,6,13,0,0,5,73,0,1,1,30:38:00
Dallas Cowboys,NFC EAST,16,16,17,1/3/2021,Sun,Away,NYG,L,19,23,,29,47,61.7,199,0,4.2,3.28,62.3,6,45,27,108,1,4,80,307,3.84,4,4,1,1,6,291,16,8,2,26,6,17,1,1,6,58,0,1,1,32:33:00
Dallas Cowboys,NFC EAST,1,1,1,9/9/2021,Thu,Away,TAM,L,29,31,,42,58,72.4,391,3,6.7,7,100.6,1,12,18,60,0,3.3,77,451,5.86,5,3,3,2,3,147,21,4,5,30,9,17,0,0,8,55,0,1,1,34:27:00
Dallas Cowboys,NFC EAST,2,2,2,9/19/2021,Sun,Away,LAC,W,20,17,,23,27,85.2,221,0,8.2,6.52,85.3,2,16,31,198,2,6.4,60,419,6.98,2,2,2,2,1,44,13,11,1,25,6,10,0,1,8,76,0,1,1,29:03:00
Dallas Cowboys,NFC EAST,3,3,3,9/27/2021,Mon,Home,PHI,W,41,21,,21,26,80.8,220,3,8.5,10.77,140.4,4,18,41,160,2,3.9,71,380,5.35,0,0,6,5,4,202,14,9,4,27,6,12,1,2,4,37,1,0,1,34:58:00
